Provinsi,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah,Total Perceraian
Aceh,1,15.0,19,10.0,968.0,44,17.0,107,8,3426.0,1,2.0,485.0,92,5195.0,2,9,5,4,1123,58,27,107,15,4221,2,5,416,69,6063,2,3,5,2.0,580.0,52,11,58.0,8,3370.0,–,3.0,77.0,–,4171,1,4,18,11,699,90,19,88,27,5238,3,9,235,–,6442,5,15.0,20,27.0,747.0,101,57.0,173.0,25,5412.0,2,12.0,308.0,–,6904.0,35161.0
Sumatera Utara,209,198.0,508,194.0,2551.0,109,7.0,159,4,7235.0,10,21.0,1623.0,336,13164.0,106,82,218,110,2177,96,6,110,8,11670,–,42,701,179,15505,4,11,26,3.0,1394.0,58,16,33.0,6,11026.0,1,61.0,170.0,–,12809,1,6,24,12,1587,67,14,37,3,15244,1,73,201,–,17270,11,7.0,82,44.0,1600.0,70,14.0,73.0,2,14980.0,2,91.0,357.0,–,17333.0,90013.0
Sumatera Barat,12,9.0,7,44.0,1428.0,35,18.0,147,20,4868.0,15,5.0,735.0,–,7343.0,4,12,13,33,1518,42,24,133,5,6 396,9,6,459,–,8654,1,5,2,16.0,570.0,16,10,33.0,5,4394.0,1,6.0,232.0,–,5291,3,4,2,15,883,39,10,29,6,8172,3,14,191,–,9371,2,9.0,7,19.0,754.0,31,10.0,33.0,4,7863.0,–,11.0,224.0,–,8967.0,47902.0
Riau,24,62.0,17,58.0,1676.0,50,16.0,208,32,6926.0,21,18.0,1516.0,–,10624.0,1,17,11,33,1238,64,6,115,4,7608,6,10,635,–,9748,4,8,8,10.0,708.0,38,13,42.0,6,5176.0,4,18.0,217.0,–,6252,39,35,24,33,1303,106,33,131,10,10285,10,37,676,–,12722,24,28.0,34,33.0,962.0,118,28.0,134.0,4,9789.0,7,32.0,574.0,–,11767.0,61525.0
Jambi,4,34.0,8,29.0,711.0,29,9.0,102,3,2874.0,1,3.0,462.0,–,4269.0,3,12,13,17,743,26,11,69,2,3 254,3,6,489,–,4648,4,11,4,12.0,387.0,28,8,37.0,2,3164.0,3,7.0,216.0,–,3883,3,14,4,14,448,29,13,36,2,4140,–,11,286,–,5000,4,14.0,6,15.0,656.0,32,7.0,42.0,5,4917.0,1,24.0,481.0,–,6204.0,30040.0
Sumatera Selatan,8,81.0,15,33.0,641.0,77,31.0,161,3,5678.0,3,7.0,688.0,–,7426.0,7,122,79,224,864,72,43,345,4,6729,3,16,1121,15,9644,4,43,49,33.0,523.0,37,51,137.0,7,4883.0,6,21.0,608.0,–,6402,27,57,20,59,998,91,39,240,7,8630,7,49,968,–,11192,6,22.0,17,34.0,841.0,59,20.0,194.0,7,9311.0,3,73.0,532.0,–,11119.0,53805.0
Bengkulu,–,5.0,1,5.0,419.0,10,6.0,10,2,2180.0,3,4.0,149.0,–,2794.0,5,6,2,5,432,11,7,23,1,2664,2,4,160,–,3322,1,6,–,11.0,331.0,19,2,23.0,1,2509.0,4,8.0,189.0,–,3104,2,11,3,15,364,14,5,37,3,3149,1,4,237,–,3845,4,11.0,3,11.0,308.0,20,4.0,29.0,5,3135.0,9,5.0,266.0,–,3810.0,19993.0
Lampung,53,175.0,23,273.0,1734.0,24,34.0,253,155,4297.0,3,13.0,2870.0,–,9907.0,106,151,53,220,1515,22,24,467,21,6055,10,28,3 856,–,12528,11,53,5,61.0,769.0,23,17,245.0,14,7556.0,1,53.0,2419.0,–,11227,2,53,7,51,624,30,19,167,5,11231,2,72,2770,–,15033,5,42.0,5,38.0,645.0,36,17.0,146.0,9,11925.0,2,53.0,2438.0,–,15361.0,75609.0
Kepulauan Bangka Belitung,3,15.0,3,8.0,371.0,15,17.0,72,1,1665.0,1,4.0,115.0,–,2290.0,6,22,2,8,242,28,13,27,1,1961,–,9,154,–,2473,8,12,1,4.0,103.0,16,11,30.0,1,1633.0,1,14.0,167.0,–,2001,5,45,3,12,142,27,5,80,1,1882,1,2,272,–,2477,3,39.0,–,20.0,126.0,23,7.0,53.0,–,1977.0,1,9.0,442.0,–,2700.0,14560.0
Kepulauan Riau,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,22,34,5,34,522,40,6,39,1,2574,1,11,208,–,3497,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,4069.0
